year,sex,age,percentage
2007,all,19~29,94.3
2007,all,30~39,94.8
2007,all,40~49,87.8
2007,all,50~59,84.4
2007,all,60~69,78.7
2007,all,70+,64.7
2007,men,19~29,96.4
2007,men,30~39,97.9
2007,men,40~49,96.6
2007,men,50~59,92.6
2007,men,60~69,92.5
2007,men,70+,85.2
2007,women,19~29,92.2
2007,women,30~39,91.6
2007,women,40~49,78.5
2007,women,50~59,76
2007,women,60~69,66.5
2007,women,70+,52.5
2008,all,19~29,95.8
2008,all,30~39,95.5
2008,all,40~49,90.6
2008,all,50~59,85.7
2008,all,60~69,77.6
2008,all,70+,68
2008,men,19~29,95.9
2008,men,30~39,97.4
2008,men,40~49,96
2008,men,50~59,94.2
2008,men,60~69,92
2008,men,70+,86.9
2008,women,19~29,95.6
2008,women,30~39,93.4
2008,women,40~49,85.1
2008,women,50~59,77.2
2008,women,60~69,64.7
2008,women,70+,56.6
2009,all,19~29,96
2009,all,30~39,95.8
2009,all,40~49,92.9
2009,all,50~59,84.5
2009,all,60~69,76.1
2009,all,70+,62.3
2009,men,19~29,96.8
2009,men,30~39,96.6
2009,men,40~49,97.1
2009,men,50~59,94.9
2009,men,60~69,91.1
2009,men,70+,87.1
2009,women,19~29,95.2
2009,women,30~39,94.9
2009,women,40~49,88.5
2009,women,50~59,74.1
2009,women,60~69,62.7
2009,women,70+,47.1
2010,all,19~29,96.6
2010,all,30~39,96.8
2010,all,40~49,92.7
2010,all,50~59,86.1
2010,all,60~69,76.8
2010,all,70+,66.5
2010,men,19~29,98.2
2010,men,30~39,98.5
2010,men,40~49,96.2
2010,men,50~59,95
2010,men,60~69,91.1
2010,men,70+,87.3
2010,women,19~29,94.8
2010,women,30~39,94.9
2010,women,40~49,89.1
2010,women,50~59,77.2
2010,women,60~69,63.9
2010,women,70+,53.5
2011,all,19~29,97.5
2011,all,30~39,96.3
2011,all,40~49,93.1
2011,all,50~59,88.3
2011,all,60~69,81.7
2011,all,70+,64.2
2011,men,19~29,97
2011,men,30~39,97.2
2011,men,40~49,95.9
2011,men,50~59,96.4
2011,men,60~69,95.2
2011,men,70+,87.7
2011,women,19~29,98.1
2011,women,30~39,95.4
2011,women,40~49,90.3
2011,women,50~59,80.4
2011,women,60~69,69.5
2011,women,70+,49.4
2012,all,19~29,96.3
2012,all,30~39,95.7
2012,all,40~49,93.4
2012,all,50~59,88.6
2012,all,60~69,77.4
2012,all,70+,68.7
2012,men,19~29,96.5
2012,men,30~39,97.4
2012,men,40~49,96.6
2012,men,50~59,96.5
2012,men,60~69,92.2
2012,men,70+,89
2012,women,19~29,96
2012,women,30~39,93.8
2012,women,40~49,90.1
2012,women,50~59,89.9
2012,women,60~69,64.5
2012,women,70+,55.8
2013,all,19~29,95.1
2013,all,30~39,95.8
2013,all,40~49,92.1
2013,all,50~59,88.7
2013,all,60~69,82.8
2013,all,70+,66.9
2013,men,19~29,96.2
2013,men,30~39,96.2
2013,men,40~49,97.2
2013,men,50~59,96.5
2013,men,60~69,96.5
2013,men,70+,90
2013,women,19~29,93.7
2013,women,30~39,95.5
2013,women,40~49,87.2
2013,women,50~59,81.1
2013,women,60~69,70.6
2013,women,70+,52.1
2014,all,19~29,95.6
2014,all,30~39,95.4
2014,all,40~49,94.3
2014,all,50~59,89
2014,all,60~69,80
2014,all,70+,71.9
2014,men,19~29,95.5
2014,men,30~39,97.3
2014,men,40~49,97.2
2014,men,50~59,95
2014,men,60~69,91.6
2014,men,70+,89.3
2014,women,19~29,94.5
2014,women,30~39,95.4
2014,women,40~49,91.5
2014,women,50~59,83.2
2014,women,60~69,69.5
2014,women,70+,60.1
2015,all,19~29,96.6
2015,all,30~39,97.4
2015,all,40~49,94.1
2015,all,50~59,89.1
2015,all,60~69,83.9
2015,all,70+,67.4
2015,men,19~29,98.4
2015,men,30~39,98.4
2015,men,40~49,95.9
2015,men,50~59,94.8
2015,men,60~69,93.8
2015,men,70+,88.9
2015,women,19~29,94.7
2015,women,30~39,96.4
2015,women,40~49,92.3
2015,women,50~59,83.5
2015,women,60~69,74.5
2015,women,70+,53.1
2016,all,19~29,95.5
2016,all,30~39,97.3
2016,all,40~49,94.7
2016,all,50~59,91.5
2016,all,60~69,84
2016,all,70+,67.8
2016,men,19~29,96.7
2016,men,30~39,98.1
2016,men,40~49,96.1
2016,men,50~59,96.7
2016,men,60~69,93.6
2016,men,70+,90.2
2016,women,19~29,94.1
2016,women,30~39,96.5
2016,women,40~49,93.2
2016,women,50~59,86.3
2016,women,60~69,74.9
2016,women,70+,53.4
2017,all,19~29,96
2017,all,30~39,98.1
2017,all,40~49,95.9
2017,all,50~59,89.5
2017,all,60~69,85
2017,all,70+,69.8
2017,men,19~29,94.2
2017,men,30~39,99
2017,men,40~49,97.5
2017,men,50~59,96
2017,men,60~69,94.2
2017,men,70+,89
2017,women,19~29,98
2017,women,30~39,97.2
2017,women,40~49,94.3
2017,women,50~59,83
2017,women,60~69,76.3
2017,women,70+,56.8
2018,all,19~29,95.6
2018,all,30~39,98.8
2018,all,40~49,96.3
2018,all,50~59,92.1
2018,all,60~69,87.5
2018,all,70+,73.0
2018,men,19~29,96.3
2018,men,30~39,99.1
2018,men,40~49,97.5
2018,men,50~59,96.8
2018,men,60~69,97.0
2018,men,70+,92.3
2018,women,19~29,94.8
2018,women,30~39,98.5
2018,women,40~49,95.1
2018,women,50~59,87.4
2018,women,60~69,78.4
2018,women,70+,59.9
2019,all,19~29,97.1
2019,all,30~39,97.3
2019,all,40~49,96.5
2019,all,50~59,91.5
2019,all,60~69,87.5
2019,all,70+,69.1
2019,men,19~29,97.5
2019,men,30~39,98.6
2019,men,40~49,98.3
2019,men,50~59,95.6
2019,men,60~69,95.2
2019,men,70+,86.7
2019,women,19~29,96.6
2019,women,30~39,95.9
2019,women,40~49,94.7
2019,women,50~59,87.4
2019,women,60~69,80.2
2019,women,70+,57.1
2020,all,19~29,96.8
2020,all,30~39,97.3
2020,all,40~49,96.2
2020,all,50~59,93.9
2020,all,60~69,84.4
2020,all,70+,68.9
2020,men,19~29,97.9
2020,men,30~39,99.5
2020,men,40~49,97.8
2020,men,50~59,98.2
2020,men,60~69,94.7
2020,men,70+,89.5
2020,women,19~29,95.6
2020,women,30~39,95
2020,women,40~49,94.5
2020,women,50~59,89.6
2020,women,60~69,74.4
2020,women,70+,54.2
